Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Player-additional
1,Precious Achiuwa,C-PF,24,TOT,45,895,14.1,.523,.229,.185,12.5,20.4,16.5,9.4,1.5,3.0,12.2,17.2,,0.4,1.2,1.6,.086,,-2.0,0.2,-1.9,0.0,achiupr01
1,Precious Achiuwa,C,24,TOR,25,437,15.0,.512,.276,.247,12.5,22.2,17.2,14.2,1.8,2.4,13.3,21.4,,0.0,0.5,0.5,.054,,-1.5,-0.1,-1.6,0.0,achiupr01
1,Precious Achiuwa,PF,24,NYK,20,458,13.2,.538,.164,.098,12.6,18.8,15.7,4.7,1.2,3.6,10.5,13.2,,0.4,0.7,1.1,.116,,-2.5,0.4,-2.1,0.0,achiupr01
2,Bam Adebayo,C,26,MIA,42,1450,19.3,.568,.017,.428,7.1,27.7,17.2,19.4,1.4,2.8,12.0,25.9,,1.4,2.4,3.8,.126,,0.3,1.3,1.6,1.3,adebaba01
3,Ochai Agbaji,SG,23,UTA,51,1003,8.0,.531,.570,.080,3.9,9.8,6.9,6.0,1.3,2.5,11.7,12.1,,0.1,0.6,0.6,.030,,-2.7,-0.3,-3.0,-0.2,agbajoc01
4,Santi Aldama,PF,23,MEM,40,975,13.2,.541,.523,.152,5.1,21.0,12.7,12.5,1.3,2.6,10.5,19.4,,0.0,1.3,1.3,.064,,-0.6,0.4,-0.2,0.5,aldamsa01
5,Nickeil Alexander-Walker,SG,25,MIN,52,1197,9.6,.553,.662,.123,2.2,7.0,4.7,14.7,1.8,1.9,13.1,13.5,,0.5,1.9,2.4,.097,,-2.0,1.9,-0.1,0.6,alexani01
6,Grayson Allen,SG,28,PHO,46,1514,13.7,.699,.622,.224,2.4,11.0,7.0,12.6,1.3,1.7,13.0,13.9,,2.8,1.3,4.1,.131,,1.0,0.0,1.0,1.1,allengr01
7,Jarrett Allen,C,25,CLE,45,1370,22.0,.672,.007,.379,13.0,24.9,19.1,13.4,1.3,3.5,13.5,18.9,,3.8,2.7,6.4,.225,,1.8,1.7,3.5,1.9,allenja01
8,Jose Alvarado,PG,25,NOP,33,538,13.6,.549,.588,.180,2.7,11.5,7.1,15.0,3.1,1.8,9.9,18.5,,0.3,0.8,1.1,.102,,-1.0,1.8,0.8,0.4,alvarjo01
9,Kyle Anderson,PF,30,MIN,52,1137,12.2,.522,.117,.355,4.4,13.2,9.1,24.4,1.8,2.2,17.7,14.4,,0.7,2.0,2.7,.115,,-1.6,2.7,1.0,0.9,anderky01
10,Giannis Antetokounmpo,PF,29,MIL,50,1764,29.2,.647,.095,.589,8.3,26.0,17.4,30.6,1.8,2.5,13.0,33.2,,6.0,2.4,8.4,.229,,6.2,2.0,8.1,4.5,antetgi01
11,Thanasis Antetokounmpo,PF,31,MIL,20,83,3.3,.500,.000,.000,5.5,5.1,5.3,13.2,1.1,2.9,36.0,12.8,,-0.1,0.1,-0.1,-0.051,,-8.1,-1.1,-9.2,-0.2,antetth01
12,Cole Anthony,PG,23,ORL,51,1173,14.3,.551,.348,.352,4.3,15.6,9.9,20.4,1.8,1.7,14.1,23.7,,0.5,1.7,2.2,.090,,-1.1,0.6,-0.5,0.5,anthoco01
13,OG Anunoby,SF,26,TOT,41,1400,13.4,.609,.475,.176,3.1,10.5,6.8,9.3,1.9,1.8,10.7,17.6,,1.3,1.3,2.6,.088,,-0.6,0.5,-0.2,0.6,anunoog01
13,OG Anunoby,SF,26,TOR,27,900,12.5,.598,.508,.143,2.9,10.3,6.5,11.2,1.5,1.3,11.2,18.3,,0.5,0.5,1.1,.058,,-1.0,-0.6,-1.6,0.1,anunoog01
13,OG Anunoby,SF,26,NYK,14,500,15.0,.630,.408,.242,3.3,11.0,7.2,5.9,2.5,2.8,9.9,16.4,,0.7,0.8,1.5,.141,,0.0,2.4,2.4,0.6,anunoog01
14,Ryan Arcidiacono,PG,29,NYK,20,45,-1.9,.000,1.000,.000,0.0,19.6,9.8,10.2,2.2,0.0,25.0,7.6,,-0.1,0.1,-0.1,-0.084,,-11.8,2.0,-9.8,-0.1,arcidry01
15,Deni Avdija,SF,23,WAS,50,1366,14.6,.596,.283,.320,3.8,20.5,12.0,19.1,1.4,1.2,15.0,19.1,,1.0,0.9,2.0,.069,,-0.9,-0.1,-1.0,0.3,avdijde01
16,Deandre Ayton,C,25,POR,34,1083,16.2,.575,.000,.121,10.2,27.0,18.1,8.3,1.5,2.1,12.8,18.4,,0.7,1.2,1.9,.086,,-1.3,-0.3,-1.6,0.1,aytonde01
17,Udoka Azubuike,C,24,PHO,13,103,13.6,.652,.000,.500,13.1,21.1,17.3,4.0,0.0,5.1,13.0,13.0,,0.1,0.1,0.3,.118,,-2.5,-0.2,-2.8,0.0,azubuud01
18,Ibou Badji,C,21,POR,14,173,8.6,.595,.000,.400,11.1,18.1,14.4,7.6,0.6,9.9,40.5,7.3,,0.0,0.2,0.2,.048,,-7.8,2.3,-5.5,-0.1,badjiib01
19,Marvin Bagley III,C,24,TOT,34,670,19.0,.639,.035,.407,12.8,17.9,15.3,8.7,0.7,2.1,12.9,22.0,,1.3,0.3,1.6,.111,,0.6,-1.7,-1.1,0.1,baglema01
19,Marvin Bagley III,C,24,DET,26,478,18.0,.638,.033,.337,10.7,17.3,13.9,8.7,0.5,2.4,12.2,21.0,,0.9,0.2,1.0,.104,,0.4,-1.6,-1.2,0.1,baglema01
19,Marvin Bagley III,C,24,WAS,8,192,21.3,.643,.039,.571,18.0,19.2,18.6,8.7,1.2,1.3,14.2,24.6,,0.4,0.1,0.5,.131,,1.0,-1.9,-0.8,0.1,baglema01
20,Amari Bailey,PG,19,CHO,2,11,3.6,.363,.333,.333,19.3,0.0,10.2,0.0,0.0,0.0,12.7,31.1,,-0.1,0.0,-0.1,-0.252,,-5.6,-8.4,-14.0,0.0,baileam01
21,Patrick Baldwin Jr.,SF,21,WAS,17,123,9.8,.540,.537,.293,6.0,25.6,15.6,7.4,0.4,2.0,11.5,17.9,,0.0,0.1,0.1,.027,,-3.8,-1.7,-5.4,-0.1,baldwpa01
22,LaMelo Ball,PG,22,CHO,22,711,20.5,.561,.466,.246,4.3,14.1,8.9,41.9,2.7,0.5,15.0,33.7,,0.5,0.4,0.9,.064,,3.6,-0.6,3.0,0.9,ballla01
23,Mo Bamba,C,25,PHI,29,293,17.9,.577,.247,.269,15.4,24.2,19.8,7.1,1.8,7.9,15.4,17.9,,0.3,0.6,0.8,.138,,-1.8,0.6,-1.2,0.1,bambamo01
24,Paolo Banchero,PF,21,ORL,52,1810,17.2,.541,.230,.411,3.8,19.3,11.4,24.2,1.5,1.4,12.4,29.8,,0.5,2.6,3.1,.082,,1.1,0.1,1.2,1.5,banchpa01
25,Desmond Bane,SG,25,MEM,37,1277,18.8,.597,.460,.201,2.8,12.1,7.3,28.1,1.4,1.4,11.6,28.8,,1.5,1.3,2.8,.105,,3.4,0.1,3.5,1.8,banede01
26,Dalano Banton,PG,24,BOS,24,171,9.7,.468,.314,.392,7.8,13.6,10.8,14.2,1.4,1.5,14.3,17.6,,0.0,0.2,0.2,.062,,-5.1,0.6,-4.4,-0.1,bantoda01
27,Dominick Barlow,PF,20,SAS,22,295,14.1,.537,.089,.354,9.4,18.2,13.7,11.9,1.4,3.5,5.2,13.7,,0.4,0.3,0.7,.108,,-1.9,0.2,-1.7,0.0,barlodo01
28,Harrison Barnes,PF,31,SAC,50,1499,11.5,.620,.552,.249,3.0,8.1,5.5,5.4,1.2,0.5,7.0,15.0,,1.8,0.9,2.7,.085,,-0.9,-1.3,-2.2,-0.1,barneha02
29,Scottie Barnes,SG,22,TOR,51,1798,19.3,.574,.331,.272,6.8,18.4,12.5,24.2,1.7,3.6,13.2,24.7,,2.2,1.9,4.0,.108,,2.8,0.8,3.6,2.5,barnesc01
30,RJ Barrett,SG,23,TOT,41,1280,15.6,.568,.313,.326,2.9,15.9,9.3,14.0,0.8,1.1,9.7,25.8,,1.1,1.1,2.3,.085,,0.2,-1.4,-1.1,0.3,barrerj01
30,RJ Barrett,SG,23,NYK,26,766,14.1,.536,.335,.320,2.8,13.2,8.0,12.5,0.8,1.1,9.6,27.2,,0.4,0.8,1.1,.071,,-0.6,-1.6,-2.2,0.0,barrerj01
30,RJ Barrett,SG,23,TOR,15,514,17.8,.625,.275,.338,3.2,19.7,11.3,16.2,0.9,1.2,9.9,23.6,,0.8,0.4,1.1,.107,,1.5,-1.0,0.5,0.3,barrerj01
31,Charles Bassey,C,23,SAS,19,205,17.6,.739,.025,.150,12.0,28.4,20.0,14.0,1.8,7.1,26.0,11.8,,0.3,0.3,0.6,.147,,-2.0,3.0,1.0,0.2,bassech01
32,Emoni Bates,SF,20,CLE,10,76,3.7,.348,.800,.080,1.5,12.8,7.3,9.8,0.6,2.4,3.7,15.3,,-0.1,0.1,0.0,-0.015,,-5.4,-0.7,-6.1,-0.1,batesem01
33,Keita Bates-Diop,SF,28,PHO,39,597,11.3,.525,.427,.240,6.2,12.9,9.7,7.3,1.8,3.0,7.3,13.0,,0.4,0.7,1.1,.085,,-1.5,0.2,-1.3,0.1,bateske01
34,Nicolas Batum,PF,35,TOT,34,846,11.5,.684,.719,.104,5.5,11.6,8.6,11.6,1.3,2.6,13.0,8.2,,1.4,0.8,2.2,.127,,0.0,0.7,0.7,0.6,batumni01
34,Nicolas Batum,PF,35,LAC,3,54,9.7,.500,.875,.000,0.0,14.2,7.4,11.0,2.7,6.7,11.1,7.3,,0.0,0.1,0.1,.098,,-1.5,4.4,2.8,0.1,batumni01
34,Nicolas Batum,PF,35,PHI,31,792,11.6,.695,.709,.110,5.8,11.5,8.6,11.6,1.2,2.3,13.1,8.2,,1.4,0.7,2.1,.129,,0.1,0.5,0.6,0.5,batumni01
35,Bradley Beal,SG,30,PHO,28,940,14.8,.580,.314,.215,3.0,11.3,7.4,20.7,1.3,0.8,13.5,24.2,,0.7,0.7,1.4,.073,,-0.8,-1.5,-2.4,-0.1,bealbr01
36,Malik Beasley,SG,27,MIL,50,1483,10.7,.624,.724,.055,2.6,11.9,7.4,6.0,1.2,0.3,7.6,13.9,,1.5,0.9,2.4,.077,,-0.6,-0.9,-1.5,0.2,beaslma01
37,MarJon Beauchamp,SF,23,MIL,37,546,8.6,.577,.454,.142,4.1,12.7,8.6,6.7,1.0,0.9,13.8,13.5,,0.1,0.3,0.4,.039,,-2.7,-1.1,-3.8,-0.2,beaucma01
38,Jules Bernard,SG,24,WAS,6,28,3.6,.292,.667,.000,7.5,11.6,9.5,22.5,1.7,2.9,14.3,21.1,,-0.1,0.0,-0.1,-0.152,,-7.2,-1.2,-8.4,0.0,bernaju01
39,Dāvis Bertāns,PF,31,OKC,15,91,17.2,.675,.923,.577,2.6,9.4,6.2,12.2,1.6,3.1,3.0,16.1,,0.3,0.1,0.4,.227,,3.1,0.8,3.9,0.1,bertada01
40,Patrick Beverley,PG,35,PHI,47,919,11.5,.547,.452,.261,3.6,13.9,8.7,20.5,1.3,1.7,15.4,14.7,,0.7,0.9,1.6,.083,,-1.5,0.0,-1.5,0.1,beverpa01
41,Saddiq Bey,SF,24,ATL,50,1620,12.8,.551,.523,.288,8.4,13.8,11.0,5.7,1.3,0.3,6.7,16.3,,2.1,0.4,2.6,.076,,-0.1,-1.9,-2.0,0.0,beysa01
42,Goga Bitadze,C,24,ORL,43,815,18.3,.641,.056,.380,13.3,22.2,17.7,11.7,1.6,7.0,13.3,12.7,,1.7,1.6,3.3,.195,,-0.2,2.9,2.7,1.0,bitadgo01
43,Onuralp Bitim,SG,24,CHI,1,3,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,.003,,-7.4,-3.4,-10.8,0.0,bitimon01
44,Bismack Biyombo,C,31,MEM,30,718,9.9,.560,.000,.387,8.4,21.3,14.6,10.0,0.7,4.4,21.4,10.6,,0.1,0.9,1.0,.069,,-4.9,1.6,-3.2,-0.2,biyombi01
45,Anthony Black,PG,20,ORL,48,880,8.8,.587,.358,.347,3.1,10.8,6.9,11.8,1.4,1.8,17.2,12.0,,0.3,1.1,1.4,.079,,-3.7,1.1,-2.6,-0.1,blackan01
46,Leaky Black,SF,24,CHO,21,188,10.7,.544,.405,.324,4.0,15.8,9.6,11.2,1.3,2.9,6.6,10.4,,0.2,0.1,0.3,.065,,-2.5,-0.3,-2.8,0.0,blackle01
47,Bogdan Bogdanović,SG,31,ATL,49,1413,15.2,.568,.600,.140,2.0,10.3,6.0,13.6,2.1,0.7,7.0,22.9,,1.9,0.6,2.5,.084,,1.1,-0.6,0.4,0.9,bogdabo01
48,Bojan Bogdanović,PF,34,DET,28,921,13.9,.600,.487,.245,1.6,10.1,5.8,11.7,1.2,0.4,11.8,24.5,,0.5,0.2,0.7,.036,,0.3,-2.5,-2.2,0.0,bogdabo02
49,Bol Bol,PF,24,PHO,15,133,18.9,.734,.263,.132,10.2,24.5,17.8,7.6,1.5,6.0,18.3,16.1,,0.2,0.2,0.4,.160,,0.1,1.5,1.6,0.1,bolbo01
50,Marques Bolden,C,25,MIL,2,3,3.1,,,,0.0,71.1,36.6,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,.096,,-8.0,2.3,-5.7,0.0,boldema01
51,Devin Booker,PG,27,PHO,42,1515,22.7,.618,.303,.354,2.3,12.2,7.6,32.1,1.2,1.0,10.3,30.3,,4.7,1.2,5.9,.186,,4.3,-1.1,3.2,2.0,bookede01
52,Brandon Boston Jr.,SF,22,LAC,14,105,10.7,.506,.340,.200,7.9,7.3,7.6,6.7,0.9,1.7,8.4,24.6,,0.0,0.1,0.1,.030,,-4.0,-3.2,-7.2,-0.1,bostobr01
53,Chris Boucher,PF,31,TOR,45,630,15.3,.604,.444,.399,9.3,23.1,16.1,4.1,1.0,2.8,8.6,17.4,,0.9,0.6,1.5,.115,,-0.7,-1.4,-2.1,0.0,bouchch01
54,James Bouknight,SG,23,CHO,14,81,15.7,.597,.732,.049,1.3,11.8,6.2,11.8,0.6,1.1,4.6,23.5,,0.1,0.0,0.1,.058,,4.3,-2.3,2.0,0.1,bouknja01
55,Jamaree Bouyea,PG,24,POR,6,57,-4.8,.238,.381,.000,3.7,16.9,9.9,19.3,0.0,0.0,27.6,21.6,,-0.4,0.0,-0.4,-0.300,,-13.1,-4.9,-18.0,-0.2,bouyeja01
56,Malaki Branham,PG,20,SAS,47,949,7.9,.505,.401,.080,1.6,9.1,5.3,15.5,0.9,0.5,12.9,18.5,,-0.8,0.3,-0.5,-0.025,,-4.2,-2.1,-6.3,-1.0,branhma01
57,Christian Braun,SG,22,DEN,52,972,11.3,.540,.316,.289,4.8,15.7,10.3,9.6,1.0,1.7,9.6,16.4,,0.6,1.0,1.6,.078,,-2.2,-0.6,-2.9,-0.2,braunch01
58,Mikal Bridges,SF,27,BRK,51,1801,16.1,.574,.406,.281,2.5,12.7,7.5,16.2,1.3,1.1,10.6,25.9,,1.6,1.3,2.8,.075,,1.2,-1.1,0.1,0.9,bridgmi01
59,Miles Bridges,SF,25,CHO,39,1450,16.0,.566,.376,.176,2.6,20.2,10.9,14.0,1.3,1.4,9.3,24.9,,0.7,0.7,1.3,.044,,0.5,-1.4,-0.8,0.4,bridgmi02
60,Oshae Brissett,SF,25,BOS,33,369,13.4,.562,.404,.457,10.5,16.7,13.7,7.7,1.7,0.5,8.9,14.4,,0.6,0.6,1.1,.148,,-1.5,0.7,-0.7,0.1,brissos01
61,Malcolm Brogdon,PG,31,POR,39,1121,16.9,.560,.401,.234,2.7,12.9,7.5,30.8,1.2,0.6,9.9,23.0,,1.8,0.6,2.5,.106,,2.6,-0.7,1.9,1.1,brogdma01
62,Armoni Brooks,PG,25,BRK,10,104,8.1,.448,.696,.043,7.0,11.8,9.3,6.6,0.5,0.9,6.0,20.5,,-0.1,0.0,0.0,-0.021,,-2.2,-3.6,-5.8,-0.1,brookar01
63,Dillon Brooks,SF,28,HOU,41,1276,10.4,.580,.440,.211,2.5,9.5,6.0,7.4,1.5,0.3,10.5,18.3,,0.5,1.4,1.9,.073,,-3.0,0.2,-2.8,-0.2,brookdi01
64,Bruce Brown,SG-PG,27,TOT,43,1246,12.1,.566,.306,.243,3.3,15.3,9.3,12.2,1.7,1.0,10.6,16.4,,1.0,0.8,1.8,.068,,-1.9,-0.6,-2.4,-0.1,brownbr01
64,Bruce Brown,SG,27,IND,33,981,12.0,.568,.322,.261,2.9,15.1,9.0,12.4,1.7,0.6,10.5,16.6,,0.8,0.5,1.4,.066,,-1.8,-0.6,-2.4,-0.1,brownbr01
64,Bruce Brown,PG,27,TOR,10,265,12.5,.556,.247,.173,4.9,15.7,10.2,11.7,1.8,2.3,11.2,15.9,,0.2,0.2,0.4,.074,,-2.3,-0.3,-2.6,0.0,brownbr01
65,Charlie Brown Jr.,SG,26,NYK,5,29,-2.7,.333,.667,.000,3.8,3.8,3.8,0.0,0.0,6.4,18.2,16.1,,-0.1,0.0,-0.1,-0.121,,-10.7,-2.9,-13.6,-0.1,brownch02
66,Greg Brown III,PF,22,DAL,6,40,10.4,.501,.273,.818,8.2,16.7,12.4,13.1,0.0,8.8,21.1,20.3,,-0.1,0.0,0.0,-0.011,,-4.9,0.5,-4.3,0.0,browngr01
67,Jaylen Brown,SF,27,BOS,47,1561,18.0,.577,.330,.244,3.5,13.3,8.7,18.0,1.6,1.6,11.0,27.9,,1.6,2.3,3.9,.119,,0.6,0.3,0.9,1.1,brownja02
68,Kendall Brown,SG,20,IND,5,20,14.0,.579,.167,1.000,11.4,0.0,5.7,12.1,0.0,0.0,0.0,18.0,,0.1,0.0,0.1,.152,,-0.1,-2.3,-2.4,0.0,brownke03
69,Kobe Brown,PF,24,LAC,31,274,5.8,.477,.639,.033,3.9,13.2,8.7,7.6,1.1,1.0,7.5,10.6,,0.0,0.2,0.3,.050,,-4.5,0.3,-4.2,-0.1,brownko01
70,Moses Brown,C,24,POR,9,82,12.8,.395,.000,.190,23.4,41.0,31.7,3.5,1.2,3.3,14.9,13.9,,0.0,0.1,0.1,.047,,-4.8,-2.3,-7.1,-0.1,brownmo01
71,Troy Brown Jr.,SF,24,MIN,37,410,11.6,.603,.712,.186,4.2,15.2,10.1,11.7,1.0,0.4,12.4,15.7,,0.4,0.6,1.0,.119,,-0.3,0.6,0.4,0.2,browntr01
72,Jalen Brunson,PG,27,NYK,49,1754,22.0,.596,.323,.306,1.8,10.2,6.0,30.3,1.3,0.5,9.2,29.9,,5.2,1.8,7.0,.191,,5.1,-0.2,4.9,3.1,brunsja01
73,Thomas Bryant,C,26,MIA,25,259,15.1,.611,.052,.286,10.7,23.1,16.8,8.9,1.1,1.9,14.8,17.4,,0.3,0.4,0.6,.119,,-2.3,-0.5,-2.8,-0.1,bryanth01
74,Kobe Bufkin,SG,20,ATL,3,6,18.5,.410,.500,.500,17.4,37.6,27.1,22.6,0.0,0.0,0.0,33.3,,0.0,0.0,0.0,.065,,0.9,-4.8,-3.9,0.0,bufkiko01
75,Reggie Bullock,SF,32,HOU,20,180,8.0,.554,.738,.024,1.8,15.0,8.4,7.3,1.1,1.0,10.5,11.3,,0.0,0.2,0.2,.066,,-2.5,0.1,-2.5,0.0,bullore01
76,Alec Burks,SG,32,DET,43,901,14.9,.581,.608,.330,2.0,12.0,6.9,10.8,1.1,1.0,6.4,23.3,,1.3,0.2,1.6,.085,,1.3,-1.8,-0.5,0.3,burksal01
77,Jared Butler,SG,23,WAS,17,128,21.1,.689,.480,.300,0.0,9.3,4.6,35.5,2.9,1.3,15.0,21.9,,0.4,0.1,0.4,.168,,3.0,0.5,3.6,0.2,butleja02
78,Jimmy Butler,PF,34,MIA,37,1254,22.4,.631,.169,.601,6.7,11.6,9.1,21.7,1.9,0.9,9.1,24.3,,4.0,1.5,5.5,.211,,4.2,0.4,4.6,2.1,butleji01
79,Jamal Cain,PF,24,MIA,14,209,11.5,.538,.379,.288,6.4,9.3,7.8,2.1,2.1,1.9,5.1,16.6,,0.1,0.3,0.4,.083,,-2.6,0.1,-2.5,0.0,cainja01
80,Kentavious Caldwell-Pope,SG,30,DEN,49,1587,10.2,.584,.485,.226,1.5,6.5,4.0,8.9,2.1,1.2,10.3,13.1,,1.2,1.6,2.8,.085,,-2.5,0.5,-2.0,0.0,caldwke01
81,Toumani Camara,PF,23,POR,50,1193,9.6,.516,.415,.237,8.3,14.8,11.4,5.7,2.1,1.7,14.5,13.8,,-0.1,1.1,1.0,.040,,-4.1,0.2,-3.9,-0.6,camarto01
82,Clint Capela,C,29,ATL,47,1209,20.8,.595,.000,.332,19.4,25.3,22.2,5.3,1.1,5.2,8.1,16.7,,3.0,1.1,4.1,.163,,1.2,-1.3,-0.1,0.6,capelca01
83,Jevon Carter,PG,28,CHI,50,680,7.9,.479,.642,.019,0.8,5.2,3.0,12.2,1.8,1.8,9.2,19.0,,-0.6,0.6,0.0,-0.002,,-3.7,-0.6,-4.3,-0.4,carteje01
84,Wendell Carter Jr.,C,24,ORL,26,678,15.2,.632,.373,.358,8.3,21.3,14.7,9.3,0.9,1.6,11.4,16.7,,1.1,0.9,2.1,.146,,0.4,0.1,0.5,0.4,cartewe01
85,Alex Caruso,SG,29,CHI,45,1212,14.4,.624,.609,.220,3.9,11.9,7.8,14.7,2.5,4.2,14.9,15.0,,1.4,1.7,3.0,.120,,0.1,2.2,2.3,1.3,carusal01
86,Colin Castleton,C,23,LAL,5,32,19.1,.743,.000,.444,14.4,16.7,15.6,13.4,0.0,0.0,8.5,15.8,,0.1,0.0,0.2,.238,,0.1,-1.8,-1.7,0.0,castlco01
87,Malcolm Cazalon,SG,22,DET,1,3,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,-0.019,,-6.0,-3.1,-9.1,0.0,cazalma01
88,Julian Champagnie,SF,22,SAS,45,748,11.1,.573,.724,.210,3.4,12.8,8.0,8.8,1.7,3.0,11.4,14.8,,0.2,0.6,0.8,.054,,-1.5,-0.3,-1.8,0.0,champju02
89,Max Christie,SG,20,LAL,43,740,7.6,.539,.486,.200,1.6,14.8,8.5,7.4,1.0,1.7,13.3,13.5,,-0.3,0.7,0.4,.025,,-4.1,-0.4,-4.5,-0.5,chrisma02
90,Sidy Cissoko,SF,19,SAS,5,32,5.4,.387,.667,.667,0.0,20.6,10.1,0.0,4.4,0.0,11.4,11.5,,-0.1,0.0,0.0,-0.015,,-9.3,0.4,-8.9,-0.1,cissosi01
91,Jordan Clarkson,SG,31,UTA,43,1289,12.4,.522,.376,.250,3.4,8.8,6.2,23.9,0.9,0.3,14.2,26.7,,-0.1,0.3,0.3,.010,,-1.4,-3.1,-4.5,-0.8,clarkjo01
92,Nic Claxton,C,24,BRK,41,1218,19.4,.628,.009,.314,10.4,27.4,18.6,9.4,1.1,7.0,11.0,15.7,,2.1,1.9,4.0,.159,,0.0,1.6,1.6,1.1,claxtni01
93,Noah Clowney,PF,19,BRK,5,57,16.9,.662,.176,.353,11.0,11.7,11.3,10.1,0.0,1.6,9.2,16.2,,0.2,0.0,0.2,.157,,-0.2,-2.3,-2.5,0.0,clownno01
94,Amir Coffey,SF,26,LAC,38,659,11.4,.704,.493,.261,2.3,8.1,5.3,5.6,1.3,0.7,8.7,11.4,,1.2,0.5,1.7,.121,,-0.9,-0.2,-1.1,0.1,coffeam01
95,John Collins,PF,26,UTA,49,1360,16.1,.604,.322,.213,8.9,23.0,16.0,5.5,1.0,2.6,10.2,19.8,,1.7,1.2,2.9,.104,,-0.3,-1.2,-1.5,0.2,collijo01
96,Zach Collins,C,26,SAS,40,993,13.2,.564,.338,.254,7.7,16.6,12.1,18.3,1.0,2.4,16.7,21.6,,0.1,0.7,0.8,.038,,-2.4,-0.7,-3.0,-0.3,colliza01
97,Mike Conley,PG,36,MIN,47,1373,15.3,.620,.651,.155,1.3,9.2,5.5,30.5,1.6,0.6,10.9,14.7,,3.4,2.1,5.4,.190,,2.0,1.4,3.4,1.9,conlemi01
98,Pat Connaughton,SF,31,MIL,46,979,9.4,.602,.711,.149,3.2,12.5,8.0,11.0,1.1,0.7,11.9,10.2,,1.0,0.6,1.6,.078,,-1.3,-0.2,-1.4,0.1,connapa01
99,Bilal Coulibaly,SF,19,WAS,49,1306,8.9,.562,.402,.275,3.0,13.0,7.9,8.3,1.5,2.4,16.3,13.6,,-0.4,0.7,0.3,.013,,-3.7,-0.5,-4.2,-0.7,coulibi01
100,Ricky Council IV,SG,22,PHI,10,59,27.3,.689,.231,.962,7.4,7.5,7.5,2.6,1.6,0.0,2.6,27.4,,0.3,0.0,0.4,.292,,6.5,-0.9,5.6,0.1,councri01
101,Robert Covington,SF-PF,33,TOT,29,488,13.4,.580,.571,.265,7.0,15.0,11.0,6.1,3.9,3.3,9.1,10.5,,0.6,0.9,1.5,.143,,-1.0,3.2,2.1,0.5,covinro01
101,Robert Covington,PF,33,LAC,3,69,10.5,.455,.889,.222,3.4,9.5,6.6,11.8,4.3,2.6,0.0,6.2,,0.1,0.1,0.2,.130,,-2.3,4.5,2.2,0.1,covinro01
101,Robert Covington,SF,33,PHI,26,419,13.9,.593,.539,.270,7.6,15.9,11.7,5.2,3.8,3.4,9.9,11.2,,0.5,0.8,1.3,.145,,-0.8,3.0,2.1,0.4,covinro01
102,Torrey Craig,SF,33,CHI,30,624,11.0,.549,.575,.163,9.3,16.7,12.9,6.4,1.4,2.0,9.9,12.8,,0.6,0.7,1.2,.095,,-2.2,-0.2,-2.4,-0.1,craigto01
