Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Player-additional
103,Jae Crowder,PF,33,MIL,21,523,10.2,.600,.656,.168,1.9,13.1,7.7,8.0,1.4,0.8,6.3,11.6,,0.6,0.4,0.9,.086,,-1.0,0.1,-1.0,0.1,crowdja01
104,Cade Cunningham,PG,22,DET,41,1410,15.4,.543,.285,.241,1.3,11.9,6.5,34.1,1.4,0.8,15.1,29.9,,0.1,0.4,0.5,.017,,0.6,-2.2,-1.6,0.1,cunnica01
105,Seth Curry,SG,33,DAL,36,457,8.5,.502,.552,.131,3.6,9.0,6.3,8.5,1.8,0.6,9.4,15.8,,-0.1,0.3,0.2,.024,,-3.0,-1.0,-3.9,-0.2,curryse01
106,Stephen Curry,PG,35,GSW,46,1537,21.4,.638,.598,.269,1.5,12.4,7.0,23.3,1.1,1.1,12.2,31.4,,3.7,1.1,4.8,.150,,6.7,-1.1,5.6,2.9,curryst01
107,Dyson Daniels,PG,20,NOP,51,1112,11.5,.514,.425,.190,5.1,13.8,9.5,15.2,3.1,1.8,15.5,12.5,,0.4,1.8,2.1,.092,,-2.1,2.7,0.5,0.7,daniedy01
108,Anthony Davis,C,30,LAL,49,1763,25.4,.615,.071,.391,9.9,26.9,18.8,17.2,1.5,6.0,9.3,26.7,,4.3,3.1,7.4,.201,,3.4,1.8,5.3,3.2,davisan02
109,Johnny Davis,SG,21,WAS,23,183,6.4,.435,.119,.119,5.2,7.1,6.1,5.0,2.0,0.9,8.8,15.7,,-0.2,0.1,-0.2,-0.047,,-6.2,-2.0,-8.2,-0.3,davisjo06
110,JD Davison,SG,21,BOS,2,6,15.2,.532,1.000,2.000,18.4,16.8,17.6,0.0,0.0,0.0,0.0,13.5,,0.0,0.0,0.0,.202,,-0.7,-1.5,-2.2,0.0,davisjd01
111,Dexter Dennis,SG,24,DAL,4,30,18.1,.541,.421,.158,3.6,29.7,16.5,24.0,0.0,2.9,12.9,33.2,,0.0,0.0,0.0,-0.008,,1.9,-0.2,1.7,0.0,dennide01
112,DeMar DeRozan,SF,34,CHI,50,1873,18.6,.572,.170,.431,1.8,10.8,6.2,21.7,1.6,1.8,7.4,24.8,,3.7,1.8,5.5,.141,,1.3,0.0,1.3,1.5,derozde01
113,Moussa Diabaté,C,22,LAC,10,58,23.6,.580,.000,.667,28.5,11.3,19.6,9.3,3.4,0.0,7.9,19.0,,0.2,0.1,0.3,.250,,4.1,-1.0,3.1,0.1,diabamo01
114,Mamadi Diakite,PF,27,SAS,3,16,30.3,.785,.000,1.200,6.7,13.7,10.1,20.1,0.0,5.4,0.0,20.1,,0.1,0.0,0.1,.337,,7.7,3.6,11.3,0.1,diakima01
115,Hamidou Diallo,SG,25,WAS,2,5,33.0,.500,.000,.000,42.0,0.0,21.3,28.5,18.7,0.0,33.3,25.3,,0.0,0.0,0.0,.197,,2.4,16.0,18.4,0.0,diallha01
116,Gradey Dick,SG,20,TOR,30,435,7.9,.508,.605,.171,3.3,10.1,6.6,10.7,1.8,0.0,12.0,15.6,,-0.1,0.2,0.2,.017,,-4.3,-1.0,-5.2,-0.4,dickgr01
117,Ousmane Dieng,PF,20,OKC,26,297,10.5,.594,.640,.157,3.6,13.3,8.7,10.3,0.5,0.3,12.0,15.8,,0.2,0.3,0.5,.079,,-1.5,-1.4,-2.9,-0.1,diengou01
118,Spencer Dinwiddie,PG,30,BRK,48,1474,13.2,.530,.557,.321,1.8,10.0,5.8,26.6,1.3,0.5,9.8,18.3,,1.9,0.8,2.7,.089,,-0.5,-0.7,-1.2,0.3,dinwisp01
119,Donte DiVincenzo,SG,27,NYK,52,1267,17.2,.620,.697,.129,3.3,11.4,7.4,14.6,2.4,1.2,9.5,20.9,,2.5,1.8,4.2,.161,,3.1,1.3,4.4,2.1,divindo01
120,Luka Dončić,PG,24,DAL,44,1661,28.0,.617,.437,.391,2.2,23.7,12.8,43.3,1.9,1.4,12.3,36.2,,5.2,2.0,7.2,.207,,8.3,1.3,9.6,4.9,doncilu01
121,Luguentz Dort,SF,24,OKC,49,1399,10.9,.586,.586,.243,4.7,10.0,7.5,5.8,1.4,2.4,9.0,15.2,,1.2,1.6,2.8,.095,,-1.6,-0.2,-1.8,0.1,dortlu01
122,Ayo Dosunmu,SG,24,CHI,50,1238,12.3,.596,.409,.158,2.8,8.6,5.6,12.8,1.6,2.0,11.5,16.0,,1.1,1.1,2.2,.085,,-1.6,0.1,-1.6,0.1,dosunay01
123,Andre Drummond,C,30,CHI,52,858,23.9,.575,.006,.442,22.4,35.8,29.0,5.0,3.3,4.1,12.8,21.6,,1.3,1.9,3.3,.184,,0.9,-0.1,0.8,0.6,drumman01
124,Chris Duarte,SF,26,SAC,36,464,6.4,.484,.543,.205,3.3,12.7,7.9,8.6,1.9,0.4,12.6,14.5,,-0.3,0.4,0.1,.014,,-5.5,0.1,-5.4,-0.4,duartch01
125,Kris Dunn,PG,29,UTA,45,806,13.9,.551,.333,.097,4.4,13.3,8.9,31.3,2.6,2.4,20.9,14.0,,0.8,0.8,1.6,.097,,-0.7,1.9,1.2,0.6,dunnkr01
126,Kevin Durant,PF,35,PHO,45,1668,23.5,.649,.266,.334,1.6,17.5,10.0,25.1,1.2,3.1,12.5,29.2,,4.3,1.9,6.2,.178,,5.6,0.3,5.9,3.3,duranke01
127,Jalen Duren,C,20,DET,36,1090,19.1,.668,.009,.254,12.3,32.8,22.4,12.7,0.5,2.3,15.2,17.8,,2.2,0.8,3.0,.132,,0.5,-0.3,0.2,0.6,durenja01
128,Tari Eason,PF,22,HOU,22,480,17.1,.528,.265,.175,10.4,24.1,17.3,8.3,3.1,3.7,8.9,20.0,,0.2,1.1,1.3,.126,,-0.7,2.2,1.5,0.4,easonta01
129,Anthony Edwards,SG,22,MIN,49,1719,19.1,.587,.342,.341,2.1,14.2,8.5,24.8,1.7,1.2,13.3,31.9,,1.6,2.9,4.6,.127,,2.7,0.5,3.2,2.2,edwaran01
130,Kessler Edwards,SF,23,SAC,34,170,9.2,.512,.625,.083,3.2,14.3,8.6,6.7,1.1,2.1,2.0,12.7,,0.1,0.1,0.2,.066,,-2.0,-0.5,-2.5,0.0,edwarke02
131,Keon Ellis,SG,24,SAC,29,345,10.5,.596,.821,.202,2.9,9.4,6.0,12.7,1.9,3.2,14.9,13.3,,0.2,0.4,0.6,.081,,-1.5,1.0,-0.5,0.1,elliske01
132,Joel Embiid,C,29,PHI,34,1157,34.2,.645,.149,.534,8.4,28.3,18.3,31.4,1.6,4.6,11.9,38.9,,4.8,2.0,6.8,.282,,8.8,3.0,11.8,4.1,embiijo01
133,Drew Eubanks,C,26,PHO,46,744,14.7,.669,.018,.391,10.1,20.1,15.4,8.0,1.0,4.4,18.5,14.2,,1.0,0.9,1.9,.124,,-2.0,0.4,-1.6,0.1,eubandr01
134,Tosan Evbuomwan,SF,22,MEM,4,74,5.6,.333,.533,.000,11.4,9.3,10.4,10.8,0.0,1.2,6.3,9.3,,0.0,0.0,0.0,.020,,-4.2,-2.4,-6.5,-0.1,evbuoto01
135,Dante Exum,PG,28,DAL,32,631,16.6,.663,.320,.217,3.1,12.5,7.8,20.5,1.4,0.7,10.8,16.9,,1.5,0.4,2.0,.149,,1.1,-0.3,0.8,0.4,exumda01
136,Bruno Fernando,C,25,ATL,15,110,14.7,.547,.081,.757,8.5,25.6,16.7,7.4,0.9,5.6,14.0,21.3,,0.0,0.1,0.1,.048,,-3.3,-0.5,-3.8,-0.1,fernabr01
137,Dorian Finney-Smith,PF,30,BRK,42,1211,10.1,.548,.676,.059,6.2,11.9,9.0,6.6,1.3,1.9,8.9,13.5,,0.7,0.9,1.6,.062,,-1.5,-0.4,-1.9,0.0,finnedo01
138,Malachi Flynn,PG,25,TOT,45,534,10.3,.539,.581,.206,2.7,12.2,7.4,19.3,1.7,1.0,17.1,16.9,,0.0,0.4,0.4,.038,,-2.8,0.1,-2.7,-0.1,flynnma01
138,Malachi Flynn,PG,25,TOR,31,474,10.0,.535,.584,.161,3.0,12.4,7.6,20.0,1.8,1.1,18.4,16.3,,0.0,0.3,0.3,.031,,-2.9,0.2,-2.8,-0.1,flynnma01
138,Malachi Flynn,PG,25,NYK,14,60,12.3,.557,.565,.478,0.0,11.0,5.5,13.9,0.8,0.0,9.7,21.9,,0.1,0.1,0.1,.094,,-1.9,-0.8,-2.7,0.0,flynnma01
139,Simone Fontecchio,SF,28,UTA,50,1160,11.0,.592,.651,.112,5.0,11.6,8.3,8.5,1.2,1.4,12.0,15.3,,0.9,0.6,1.5,.062,,-0.5,-1.0,-1.5,0.1,fontesi01
140,Jordan Ford,PG,25,SAC,6,22,16.5,.761,.429,.286,0.0,10.5,5.1,12.6,0.0,0.0,11.3,17.2,,0.1,0.0,0.1,.147,,3.2,-1.3,1.9,0.0,fordjo01
141,Trent Forrest,SG,25,ATL,19,202,6.9,.389,.149,.213,2.6,11.7,7.0,22.6,1.6,0.4,16.3,12.4,,-0.1,0.1,0.0,-0.008,,-5.1,-0.2,-5.2,-0.2,forretr01
142,Evan Fournier,SG,31,NYK,3,39,2.2,.287,.750,.100,0.0,11.3,5.7,10.0,5.1,0.0,4.6,23.9,,-0.2,0.1,-0.1,-0.104,,-12.1,0.4,-11.7,-0.1,fournev01
143,De'Aaron Fox,PG,26,SAC,44,1566,19.8,.573,.383,.325,2.5,10.4,6.4,23.8,2.5,1.1,9.6,31.1,,1.9,1.6,3.5,.107,,2.3,-0.6,1.7,1.5,foxde01
144,Javon Freeman-Liberty,PG,24,TOR,2,4,8.0,.333,.000,.000,27.2,0.0,13.8,0.0,0.0,0.0,0.0,32.2,,0.0,0.0,0.0,-0.156,,-8.1,-9.5,-17.6,0.0,freemja01
145,Alex Fudge,SF,20,LAL,4,14,-2.0,.291,.333,.333,16.5,0.0,7.9,0.0,0.0,0.0,12.7,24.3,,-0.1,0.0,-0.1,-0.224,,-10.1,-8.1,-18.2,-0.1,fudgeal01
146,Markelle Fultz,PG,25,ORL,19,469,13.5,.510,.032,.096,6.0,9.0,7.5,22.2,2.7,1.4,11.9,17.0,,0.2,0.7,0.9,.092,,-1.9,2.3,0.4,0.3,fultzma01
147,Daniel Gafford,C,25,WAS,45,1192,19.8,.707,.000,.405,11.5,20.9,16.2,7.9,1.7,6.6,11.7,13.9,,3.0,1.4,4.3,.174,,-0.5,1.1,0.6,0.8,gaffoda01
148,Danilo Gallinari,PF-SF,35,TOT,32,475,15.2,.619,.497,.523,3.1,17.5,10.2,12.1,0.8,0.9,6.5,17.9,,1.0,0.2,1.2,.117,,0.3,-1.3,-1.0,0.1,gallida01
148,Danilo Gallinari,PF,35,WAS,26,385,13.3,.581,.489,.427,3.3,18.0,10.5,10.7,0.7,0.6,7.2,18.3,,0.5,0.1,0.6,.076,,-1.0,-1.8,-2.9,-0.1,gallida01
148,Danilo Gallinari,SF,35,DET,6,90,23.1,.799,.545,1.091,2.5,15.3,8.8,18.0,1.1,1.8,3.0,15.8,,0.5,0.0,0.5,.292,,6.0,1.0,7.0,0.2,gallida01
149,Darius Garland,PG,24,CLE,26,832,15.1,.576,.339,.275,1.8,6.4,4.1,26.4,2.2,0.4,17.6,26.5,,0.2,1.2,1.3,.076,,0.0,-0.6,-0.6,0.3,garlada01
150,Usman Garuba,PF,21,GSW,2,6,4.4,.000,.000,.000,0.0,0.0,0.0,18.7,8.1,0.0,0.0,7.0,,0.0,0.0,0.0,.008,,-7.2,5.8,-1.4,0.0,garubus01
151,Luka Garza,C,25,MIN,12,36,15.2,.511,.304,.435,17.1,15.0,15.9,9.6,0.0,0.0,6.8,36.0,,0.0,0.0,0.1,.067,,-4.2,-4.1,-8.3,-0.1,garzalu01
152,Kaiser Gates,SF,27,NOP,1,7,-19.6,.000,.500,.000,0.0,15.7,7.9,0.0,0.0,0.0,0.0,24.5,,-0.1,0.0,-0.1,-0.544,,-18.6,-9.9,-28.5,-0.1,gateska01
153,Keyonte George,PG,20,UTA,47,1143,11.1,.536,.559,.322,1.4,11.3,6.4,23.6,0.8,0.3,15.8,21.4,,0.3,0.4,0.7,.028,,-1.1,-2.1,-3.2,-0.3,georgke01
154,Paul George,PF,33,LAC,47,1586,18.4,.595,.481,.216,2.0,15.4,8.9,16.0,2.4,1.1,10.0,26.9,,2.3,2.0,4.4,.132,,2.1,0.3,2.3,1.7,georgpa01
155,Taj Gibson,PF,38,NYK,13,132,4.5,.424,.333,.111,6.7,12.5,9.6,6.5,0.4,4.2,17.5,7.4,,0.0,0.2,0.1,.049,,-6.5,0.4,-6.1,-0.1,gibsota01
156,Josh Giddey,SG,21,OKC,50,1251,15.2,.523,.272,.144,6.6,20.6,13.9,24.8,1.3,1.9,15.5,22.8,,0.2,1.8,2.0,.079,,0.2,0.2,0.5,0.8,giddejo01
157,Harry Giles,C,25,BRK,16,81,18.1,.543,.250,.295,15.4,19.2,17.3,12.4,0.6,3.3,10.8,29.4,,0.0,0.1,0.1,.066,,-1.1,-1.7,-2.8,0.0,gilesha01
158,Shai Gilgeous-Alexander,PG,25,OKC,50,1729,30.7,.649,.171,.454,3.1,14.5,9.1,31.4,3.1,2.3,8.4,32.8,,7.8,3.0,10.8,.301,,7.4,2.9,10.3,5.3,gilgesh01
159,Anthony Gill,PF,31,WAS,29,163,11.5,.564,.255,.340,8.4,16.0,12.1,8.9,1.7,3.0,21.7,17.8,,-0.1,0.1,0.0,.006,,-3.7,-1.4,-5.1,-0.1,gillan01
160,Collin Gillespie,PG,24,DEN,15,97,8.9,.588,.520,.200,1.2,4.5,2.9,11.8,2.6,0.0,15.5,14.4,,0.0,0.1,0.1,.064,,-5.2,0.6,-4.6,-0.1,gilleco01
161,Jacob Gilyard,PG,25,MEM,35,617,11.7,.615,.837,.015,1.4,5.7,3.5,27.9,2.0,0.7,16.6,11.3,,0.8,0.6,1.4,.110,,-1.3,0.3,-1.0,0.2,gilyaja01
162,Rudy Gobert,C,31,MIN,51,1704,18.8,.667,.005,.664,12.8,29.1,21.5,5.3,1.0,5.4,12.8,15.5,,3.5,3.9,7.4,.210,,0.0,1.8,1.8,1.6,goberru01
163,Jordan Goodwin,PG,25,PHO,40,558,12.4,.481,.415,.150,8.8,15.0,12.1,18.6,2.0,1.4,12.4,18.3,,0.2,0.6,0.8,.068,,-1.3,0.4,-0.9,0.2,goodwjo01
164,Aaron Gordon,PF,28,DEN,46,1467,16.1,.591,.185,.368,9.1,13.8,11.5,13.2,1.2,1.8,10.4,17.5,,2.5,1.6,4.0,.132,,0.7,-0.2,0.5,0.9,gordoaa01
165,Eric Gordon,SG,35,PHO,44,1319,11.4,.597,.640,.098,1.2,6.7,4.1,10.4,1.5,1.4,10.9,16.9,,0.9,1.0,1.8,.066,,-0.7,-0.9,-1.6,0.2,gordoer01
166,Devonte' Graham,PG,28,SAS,10,88,15.1,.555,.714,.286,2.4,13.7,8.0,28.9,1.6,1.0,8.7,16.5,,0.2,0.1,0.2,.115,,0.3,-0.1,0.2,0.0,grahade01
167,Jerami Grant,PF,29,POR,44,1488,16.3,.584,.321,.376,2.2,10.9,6.3,13.2,1.0,1.9,9.6,26.1,,1.7,0.8,2.5,.082,,1.3,-1.1,0.3,0.8,grantje01
168,A.J. Green,SG,24,MIL,32,273,13.5,.676,.854,.073,2.1,9.8,6.0,9.2,0.0,0.3,2.0,15.7,,0.7,0.1,0.8,.135,,2.3,-2.6,-0.2,0.1,greenaj01
169,Danny Green,SG,36,PHI,2,18,0.7,.000,.500,.000,0.0,12.3,6.1,6.3,2.7,0.0,0.0,4.7,,0.0,0.0,0.0,-0.035,,-7.4,0.7,-6.7,0.0,greenda02
170,Draymond Green,PF,33,GSW,25,668,13.9,.595,.369,.250,5.3,20.9,13.1,29.4,1.3,3.1,25.6,15.8,,0.6,0.8,1.4,.101,,-0.1,2.5,2.4,0.7,greendr01
171,Jalen Green,SG,21,HOU,50,1540,13.7,.535,.432,.296,1.4,15.2,8.3,16.3,1.1,1.0,11.2,27.0,,-0.4,1.9,1.5,.047,,-0.5,-0.7,-1.3,0.3,greenja05
172,Jeff Green,PF,37,HOU,48,791,10.6,.619,.317,.534,3.8,9.7,6.8,6.1,0.5,2.5,12.4,14.5,,0.8,0.8,1.6,.098,,-2.6,-0.1,-2.6,-0.1,greenje02
173,Josh Green,SG,23,DAL,39,1074,10.1,.599,.516,.164,2.4,10.9,6.6,12.3,1.3,0.5,13.0,13.5,,0.8,0.6,1.5,.065,,-1.9,-0.8,-2.7,-0.2,greenjo02
174,AJ Griffin,SF,20,ATL,18,132,1.8,.403,.733,.044,1.6,10.2,5.7,3.8,0.4,0.7,11.6,16.1,,-0.3,0.0,-0.3,-0.099,,-5.5,-3.3,-8.9,-0.2,griffaj01
175,Quentin Grimes,SG,23,NYK,45,910,9.3,.543,.741,.119,1.7,9.0,5.4,7.6,1.6,0.3,6.5,15.1,,0.6,1.0,1.6,.083,,-2.1,0.6,-1.6,0.1,grimequ01
176,Mouhamed Gueye,PF,21,ATL,2,4,-0.6,.000,1.000,.000,0.0,0.0,0.0,0.0,11.8,0.0,0.0,10.2,,0.0,0.0,0.0,-0.112,,-12.8,3.6,-9.2,0.0,gueyemo02
177,Rui Hachimura,PF,25,LAL,39,918,13.2,.588,.347,.245,3.9,13.1,8.7,6.4,1.5,1.0,7.6,18.6,,0.6,0.9,1.5,.078,,-1.6,-0.8,-2.5,-0.1,hachiru01
178,Ashton Hagans,PG,24,POR,1,28,-2.6,.286,.429,.000,0.0,8.6,4.0,14.4,0.0,0.0,22.2,13.7,,-0.1,0.0,-0.1,-0.158,,-12.6,-5.6,-18.2,-0.1,haganas01
179,Tyrese Haliburton,PG,23,IND,40,1277,25.6,.628,.491,.228,2.2,11.7,7.0,50.1,1.5,1.8,12.1,26.1,,5.3,0.6,5.9,.222,,9.0,-0.6,8.4,3.4,halibty01
180,R.J. Hampton,PG,22,MIA,8,76,0.8,.336,.571,.143,2.9,6.0,4.5,13.7,0.0,0.0,16.8,10.4,,-0.1,0.0,-0.1,-0.043,,-8.3,-1.5,-9.7,-0.1,hamptrj01
181,Tim Hardaway Jr.,SF,31,DAL,49,1474,13.6,.567,.607,.194,1.3,12.4,6.8,8.2,0.8,0.1,5.5,23.7,,1.2,0.7,1.9,.062,,0.6,-2.7,-2.1,0.0,hardati02
182,James Harden,PG,34,LAC,45,1553,19.5,.640,.581,.429,1.4,14.8,8.3,32.7,1.7,2.4,16.0,20.4,,4.3,1.9,6.1,.190,,4.3,0.9,5.2,2.8,hardeja01
183,Jaden Hardy,SG,21,DAL,47,739,11.0,.512,.512,.147,2.2,12.4,7.2,15.4,1.0,0.4,9.3,23.5,,-0.2,0.4,0.2,.011,,-1.6,-2.4,-4.0,-0.4,hardyja02
184,Ron Harper Jr.,PF,23,TOR,1,4,0.0,,,,0.0,0.0,0.0,28.2,0.0,0.0,,0.0,,0.0,0.0,0.0,.096,,-11.8,3.0,-8.8,0.0,harpero02
185,Gary Harris,SG,29,ORL,31,696,9.9,.571,.680,.183,2.4,5.9,4.1,11.2,1.8,1.1,8.2,12.8,,0.6,0.8,1.5,.100,,-2.2,1.0,-1.2,0.1,harriga01
186,Joe Harris,SG,32,DET,16,170,4.6,.489,.769,.051,2.0,6.8,4.3,7.4,0.8,1.0,9.1,10.9,,0.0,0.0,0.0,-0.006,,-4.7,-1.2,-5.9,-0.2,harrijo01
187,Kevon Harris,SG,26,ORL,1,3,-17.4,,,,0.0,39.1,19.2,0.0,0.0,0.0,100.0,14.4,,0.0,0.0,0.0,-0.391,,-23.9,-3.4,-27.3,0.0,harrike01
188,Tobias Harris,PF,31,PHI,46,1559,17.1,.605,.256,.253,3.5,16.1,9.8,14.3,1.4,1.4,8.8,20.3,,2.7,1.6,4.4,.135,,1.5,-0.4,1.2,1.2,harrito02
189,Shaquille Harrison,SG,30,MEM,3,6,15.7,.500,.000,.000,0.0,38.1,18.3,0.0,0.0,15.4,0.0,14.3,,0.0,0.0,0.0,.089,,-0.8,5.3,4.6,0.0,harrish01
190,Josh Hart,SF,28,NYK,51,1505,10.5,.516,.414,.156,5.0,21.3,13.2,14.0,1.3,0.9,14.3,12.7,,0.7,2.0,2.8,.089,,-1.9,1.3,-0.6,0.5,hartjo01
191,Isaiah Hartenstein,C,25,NYK,50,1280,17.2,.650,.013,.429,14.9,22.7,18.8,10.4,2.2,4.0,17.7,11.1,,2.6,2.4,5.0,.189,,-0.2,2.4,2.2,1.4,harteis01
192,Sam Hauser,SF,26,BOS,50,1088,11.6,.630,.856,.047,3.4,13.0,8.4,5.9,0.9,1.1,7.4,13.9,,1.4,1.3,2.7,.121,,0.4,0.1,0.5,0.7,hausesa01
193,Jordan Hawkins,SG,21,NOP,46,952,11.3,.561,.651,.193,2.9,11.6,7.3,8.5,0.8,0.4,8.0,19.8,,0.6,0.8,1.4,.073,,-0.5,-1.6,-2.1,0.0,hawkijo01
194,Jaxson Hayes,C,23,LAL,42,453,12.6,.692,.066,.451,7.6,13.7,10.8,5.6,1.9,3.1,16.1,12.4,,0.6,0.6,1.1,.119,,-3.9,1.2,-2.7,-0.1,hayesja02
195,Killian Hayes,PG,22,DET,42,1008,10.4,.474,.261,.177,1.2,12.3,6.7,26.8,1.7,1.6,14.3,14.9,,0.0,0.5,0.5,.025,,-2.9,0.2,-2.7,-0.2,hayeski01
196,Gordon Hayward,SF,33,CHO,25,798,14.0,.544,.205,.273,3.3,13.7,8.2,21.6,1.7,1.4,13.3,20.9,,0.2,0.3,0.5,.033,,-1.3,-0.8,-2.1,0.0,haywago01
197,Scoot Henderson,PG,19,POR,41,1095,8.7,.480,.334,.282,3.7,9.5,6.4,26.6,1.0,0.8,18.3,25.9,,-1.7,0.5,-1.2,-0.054,,-4.1,-2.4,-6.5,-1.2,hendesc01
198,Taylor Hendricks,PF,20,UTA,14,199,9.8,.504,.587,.127,7.2,13.0,10.2,4.6,2.2,3.5,14.2,16.2,,-0.1,0.2,0.1,.019,,-3.0,-1.0,-4.0,-0.1,hendrita01
199,Tyler Herro,SG,24,MIA,32,1072,15.3,.551,.453,.129,1.8,16.4,9.0,22.0,1.3,0.2,10.5,27.9,,0.0,1.2,1.2,.052,,1.3,-0.9,0.5,0.7,herroty01
200,Buddy Hield,SF,31,IND,52,1336,12.9,.586,.691,.064,2.9,11.5,7.2,12.9,1.5,1.8,10.4,18.5,,1.1,0.6,1.8,.063,,0.9,-0.8,0.1,0.7,hieldbu01
201,Haywood Highsmith,PF,27,MIA,37,765,9.6,.561,.591,.133,4.2,11.3,7.7,7.4,2.1,2.3,11.1,12.5,,0.2,1.0,1.3,.081,,-2.7,1.1,-1.6,0.1,highsha01
202,Nate Hinton,SG,24,HOU,10,43,15.0,.661,.533,.133,5.0,17.6,11.3,13.4,1.1,2.2,11.2,17.8,,0.1,0.1,0.1,.166,,0.4,1.1,1.5,0.0,hintona01
203,D'Moi Hodge,SG,25,LAL,7,41,6.0,.441,.800,.133,0.0,0.0,0.0,15.9,1.2,2.2,5.9,17.8,,0.0,0.0,0.0,-0.020,,-4.0,-2.5,-6.6,0.0,hodgedm01
204,Aaron Holiday,PG,27,HOU,47,803,10.8,.591,.550,.154,1.6,10.0,5.8,14.4,1.6,0.3,12.6,15.7,,0.6,0.9,1.5,.090,,-2.1,0.6,-1.5,0.1,holidaa01
205,Jrue Holiday,PG,33,BOS,46,1537,13.8,.580,.447,.134,4.5,13.9,9.4,18.4,1.1,1.9,14.4,17.0,,1.7,2.1,3.8,.120,,0.4,0.9,1.3,1.3,holidjr01
206,Justin Holiday,SG,34,DEN,29,383,9.4,.636,.675,.000,1.5,7.7,4.7,8.7,2.2,0.4,7.2,9.4,,0.4,0.4,0.8,.106,,-3.0,1.2,-1.8,0.0,holidju01
207,Richaun Holmes,C,30,DAL,23,237,13.8,.572,.000,.356,15.2,21.2,18.1,8.5,0.6,3.3,15.0,14.5,,0.3,0.2,0.5,.109,,-2.3,-0.7,-3.0,-0.1,holmeri01
208,Chet Holmgren,C,21,OKC,51,1540,20.5,.633,.362,.262,5.9,21.3,14.0,12.9,1.1,8.0,11.1,21.6,,2.8,2.8,5.6,.174,,2.2,2.0,4.2,2.4,holmgch01
209,Jalen Hood-Schifino,SG,20,LAL,15,92,-0.6,.321,.314,.457,2.5,9.3,6.0,10.9,1.6,1.9,16.0,23.5,,-0.5,0.1,-0.4,-0.199,,-11.9,-2.7,-14.6,-0.3,hoodsja01
210,Al Horford,C,37,BOS,42,1139,14.0,.623,.670,.054,5.2,20.6,13.3,13.9,0.9,3.3,11.0,11.3,,2.0,1.9,3.8,.162,,1.1,2.5,3.7,1.6,horfoal01
211,Talen Horton-Tucker,PG,23,UTA,33,689,13.3,.505,.368,.235,2.4,10.7,6.6,27.5,2.3,1.4,12.8,24.0,,0.1,0.5,0.6,.045,,-0.9,0.1,-0.9,0.2,hortota01
212,Danuel House Jr.,SF,30,PHI,34,509,8.4,.575,.476,.438,3.5,9.1,6.3,7.0,1.4,0.9,13.2,12.1,,0.3,0.4,0.7,.064,,-3.4,-0.5,-4.0,-0.3,houseda01
213,Caleb Houstan,SF,21,ORL,38,568,8.2,.573,.934,.146,4.2,8.3,6.2,5.5,0.9,0.2,7.5,13.2,,0.4,0.5,1.0,.081,,-1.6,-0.8,-2.4,-0.1,houstca01
214,Jett Howard,SF,20,ORL,11,42,8.7,.482,.737,.211,2.7,11.2,6.9,10.6,0.0,2.2,8.8,23.3,,0.0,0.0,0.0,-0.007,,-0.5,-1.8,-2.2,0.0,howarje01
215,Kevin Huerter,SG,25,SAC,48,1210,13.1,.575,.617,.093,2.6,14.1,8.2,14.7,1.3,1.3,7.1,17.4,,1.4,1.0,2.4,.095,,0.0,-0.3,-0.4,0.5,huertke01
