,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Dunks,Dunks,,Corner 3s,Corner 3s,,Heaves,Heaves,-additional
432,Dereon Seabron,SG,23,NOP,5,52,.308,7.9,,.846,.385,.231,.231,.000,.154,,.273,.400,.000,.333,,.500,,.000,1.000,,.000,0,,.500,.000,,0,0,seabrde01
433,Alperen Şengün,C,21,HOU,53,1723,.541,8.1,,.880,.325,.404,.110,.041,.120,,.574,.698,.514,.495,.412,.293,,.626,1.000,,.082,58,,.020,.000,,2,0,sengual01
434,Brice Sensabaugh,SF,20,UTA,6,16,.300,16.8,,.600,.000,.300,.200,.100,.400,,.333,,.667,.000,.000,.250,,.000,1.000,,.000,0,,.000,,,0,0,sensabr01
435,Collin Sexton,SG,25,UTA,55,1344,.485,12.1,,.677,.230,.326,.081,.041,.323,,.530,.758,.410,.382,.500,.391,,.449,.826,,.028,17,,.236,.442,,1,0,sextoco01
436,Landry Shamet,SG,26,WAS,37,559,.441,17.4,,.445,.167,.145,.075,.057,.555,,.545,.684,.424,.529,.462,.357,,.764,.911,,.048,7,,.278,.457,,0,0,shamela01
437,Day'Ron Sharpe,C,22,BRK,39,614,.581,3.5,,.960,.641,.303,.010,.005,.040,,.595,.701,.400,.000,.000,.250,,.673,1.000,,.197,36,,.250,.500,,0,0,sharpda01
438,Shaedon Sharpe,SG,20,POR,32,1059,.406,14.9,,.585,.235,.168,.099,.083,.415,,.457,.569,.370,.372,.417,.333,,.466,.717,,.071,26,,.156,.393,,3,0,sharpsh01
439,Ben Sheppard,SG,22,IND,33,357,.374,18.2,,.333,.182,.071,.071,.010,.667,,.545,.667,.286,.429,1.000,.288,,.444,1.000,,.010,1,,.394,.308,,0,0,sheppbe01
440,Pascal Siakam,PF,29,TOT,54,1853,.535,10.5,,.776,.294,.294,.132,.056,.224,,.591,.745,.514,.504,.396,.340,,.505,.969,,.029,23,,.277,.509,,0,0,siakapa01
441,Ben Simmons,PG,27,BRK,12,308,.594,3.4,,1.000,.609,.344,.047,.000,.000,,.594,.795,.273,.333,,,,.605,,,.156,10,,,,,0,0,simmobe01
442,Anfernee Simons,SG,24,POR,30,1006,.437,17.0,,.519,.160,.165,.098,.096,.481,,.483,.670,.363,.500,.358,.389,,.181,.592,,.016,8,,.075,.300,,0,0,simonan01
443,Jericho Sims,C,25,NYK,28,309,.714,2.1,,1.000,.829,.143,.029,.000,.000,,.714,.828,.200,.000,,,,.640,,,.600,16,,,,,0,0,simsje01
444,Dmytro Skapintsev,C,25,NYK,2,2,.000,4.2,,1.000,.000,1.000,.000,.000,.000,,.000,,.000,,,,,,,,.000,0,,,,,0,0,skapidm01
445,Jalen Slawson,SF,24,SAC,5,19,.667,9.8,,.667,.667,.000,.000,.000,.333,,1.000,1.000,,,,.000,,1.000,,,.000,0,,.000,,,0,0,slawsja01
446,Javonte Smart,PG,24,PHI,1,1,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0,smartja01
447,Marcus Smart,PG,29,MEM,20,605,.430,18.1,,.435,.105,.177,.118,.034,.565,,.583,.680,.548,.571,.500,.313,,.250,.905,,.000,0,,.209,.357,,2,0,smartma01
448,Dennis Smith Jr.,PG,26,BRK,38,759,.440,10.9,,.710,.381,.214,.040,.075,.290,,.508,.688,.333,.200,.263,.274,,.440,.900,,.075,17,,.301,.409,,1,0,smithde03
449,Dru Smith,SG,26,MIA,9,131,.455,15.4,,.485,.273,.121,.061,.030,.515,,.500,.667,.500,.000,.000,.412,,.500,.857,,.000,0,,.235,.750,,0,0,smithdr01
450,Ish Smith,PG,35,CHO,43,741,.418,10.3,,.949,.222,.278,.310,.139,.051,,.413,.457,.477,.306,.455,.500,,.387,.750,,.000,0,,.125,1.000,,1,0,smithis01
451,Jabari Smith Jr.,PF,20,HOU,49,1549,.459,15.6,,.574,.207,.147,.141,.078,.426,,.533,.676,.506,.446,.366,.359,,.631,.938,,.082,36,,.117,.462,,2,0,smithja05
452,Jalen Smith,C,23,IND,38,689,.632,11.8,,.640,.415,.170,.016,.040,.360,,.716,.790,.605,.750,.400,.484,,.698,1.000,,.154,37,,.154,.429,,1,0,smithja04
453,Nick Smith Jr.,SG,19,CHO,37,573,.406,18.4,,.479,.083,.152,.120,.124,.521,,.356,.389,.455,.423,.148,.451,,.378,.882,,.005,1,,.274,.613,,0,0,smithni01
454,Terquavion Smith,PG,21,PHI,11,68,.400,21.7,,.225,.150,.025,.025,.025,.775,,.444,.667,.000,.000,.000,.387,,.000,.833,,.050,2,,.097,.333,,0,0,smithte01
455,Jeremy Sochan,PF,20,SAS,55,1617,.442,11.0,,.722,.311,.275,.093,.043,.278,,.483,.682,.340,.288,.375,.335,,.582,.981,,.104,51,,.323,.300,,3,0,sochaje01
456,Jaden Springer,SG,21,PHI,32,377,.390,12.0,,.686,.314,.220,.110,.042,.314,,.469,.649,.269,.385,.400,.216,,.474,.875,,.059,7,,.486,.278,,0,0,sprinja01
457,Lamar Stevens,PF,26,TOT,21,169,.476,8.7,,.841,.413,.238,.127,.063,.159,,.491,.692,.267,.250,.500,.400,,.538,1.000,,.159,9,,.700,.286,,0,0,stevela01
458,Isaiah Stewart,PF,22,DET,35,1070,.470,13.0,,.566,.328,.202,.023,.013,.434,,.544,.596,.492,.429,.250,.374,,.699,1.000,,.073,17,,.351,.370,,0,0,stewais01
459,Julian Strawther,SF,21,DEN,35,485,.378,18.8,,.372,.112,.148,.092,.020,.628,,.493,.636,.483,.389,.250,.309,,.639,.947,,.010,2,,.114,.429,,0,0,strawju01
460,Max Strus,SF,27,CLE,53,1710,.410,18.2,,.338,.235,.081,.014,.009,.662,,.554,.627,.304,.875,.400,.336,,.673,.969,,.037,19,,.230,.333,,1,0,strusma01
461,Jalen Suggs,SG,22,ORL,50,1344,.445,17.1,,.455,.187,.134,.085,.049,.545,,.518,.696,.394,.357,.458,.384,,.466,.854,,.037,13,,.235,.397,,1,0,suggsja01
462,Cole Swider,SF,24,MIA,10,50,.391,21.1,,.261,.130,.043,.043,.043,.739,,.667,1.000,.000,1.000,.000,.294,,.750,1.000,,.087,2,,.176,.333,,0,0,swideco01
463,Jae'Sean Tate,SF,28,HOU,51,890,.467,11.0,,.651,.349,.277,.005,.021,.349,,.551,.603,.537,.000,.000,.309,,.543,1.000,,.026,3,,.529,.333,,0,0,tateja01
464,Jayson Tatum,PF,25,BOS,52,1860,.475,15.5,,.567,.218,.167,.095,.087,.433,,.561,.747,.456,.448,.420,.363,,.370,.484,,.067,64,,.066,.379,,0,0,tatumja01
465,Terry Taylor,PF,24,CHI,18,131,.536,7.5,,.750,.571,.179,.000,.000,.250,,.667,.688,.600,,,.143,,.571,1.000,,.036,0,,.714,.200,,0,0,taylote01
466,Garrett Temple,SG,37,TOR,16,69,.381,13.6,,.571,.286,.190,.000,.095,.429,,.500,.833,.250,,.000,.222,,.500,1.000,,.095,2,,.556,.400,,0,0,templga01
467,Dalen Terry,SG,21,CHI,35,351,.395,15.2,,.434,.289,.132,.013,.000,.566,,.606,.636,.600,.000,,.233,,.500,.900,,.079,5,,.442,.263,,0,0,terryda01
468,Daniel Theis,C,31,TOT,40,671,.534,8.8,,.794,.434,.249,.101,.011,.206,,.567,.683,.426,.474,.000,.410,,.812,1.000,,.164,28,,.256,.400,,1,0,theisda01
469,Cam Thomas,SG,22,BRK,45,1336,.439,14.5,,.679,.130,.241,.199,.109,.321,,.474,.683,.410,.458,.400,.364,,.478,.725,,.001,1,,.148,.459,,1,0,thomaca02
470,Amen Thompson,SF,21,HOU,35,672,.512,8.8,,.818,.431,.254,.062,.072,.182,,.591,.700,.528,.308,.400,.158,,.396,.833,,.191,38,,.263,.100,,1,0,thompam01
471,Ausar Thompson,SF,21,DET,54,1298,.485,9.2,,.793,.401,.298,.042,.052,.207,,.571,.650,.537,.471,.238,.155,,.663,.923,,.187,67,,.560,.170,,4,0,thompau01
472,Klay Thompson,SF,33,GSW,49,1500,.415,20.2,,.401,.047,.121,.106,.127,.599,,.486,.697,.442,.493,.444,.368,,.710,.929,,.001,1,,.132,.357,,2,0,thompkl01
473,Tristan Thompson,PF,32,CLE,36,446,.649,3.4,,.989,.670,.287,.032,.000,.011,,.656,.746,.481,.333,,.000,,.541,,,.202,17,,.000,,,1,0,thomptr01
474,JT Thor,PF,21,CHO,43,575,.367,13.7,,.568,.317,.122,.072,.058,.432,,.405,.523,.176,.300,.375,.317,,.719,1.000,,.086,9,,.550,.333,,0,0,thorjt01
475,Matisse Thybulle,SF,26,POR,51,1185,.394,20.2,,.224,.118,.098,.004,.004,.776,,.564,.655,.500,.000,.000,.346,,.613,1.000,,.028,7,,.398,.408,,1,0,thybuma01
476,Xavier Tillman Sr.,C,25,MEM,34,700,.408,9.4,,.751,.380,.286,.066,.019,.249,,.469,.568,.361,.429,.250,.226,,.813,1.000,,.070,13,,.604,.156,,0,0,tillmxa01
477,Jacob Toppin,SF,23,NYK,5,33,.556,14.1,,.556,.222,.222,.000,.111,.444,,.800,1.000,.500,,1.000,.250,,.750,1.000,,.333,3,,.250,.000,,0,0,toppija01
478,Obi Toppin,PF,25,IND,56,1259,.568,12.6,,.575,.370,.181,.022,.002,.425,,.689,.804,.493,.444,.000,.403,,.805,1.000,,.186,68,,.330,.431,,2,0,toppiob01
479,Juan Toscano-Anderson,SF,30,SAC,11,53,.250,9.7,,.667,.417,.250,.000,.000,.333,,.250,.400,.000,,,.250,,1.000,1.000,,.083,1,,.750,.333,,0,0,toscaju01
480,Karl-Anthony Towns,PF,28,MIN,53,1739,.516,12.6,,.665,.260,.288,.070,.048,.335,,.556,.676,.496,.474,.385,.436,,.634,.975,,.041,29,,.080,.364,,1,0,townska01
481,Gary Trent Jr.,SG,25,TOR,50,1313,.416,18.8,,.441,.102,.102,.114,.124,.559,,.413,.615,.385,.328,.349,.418,,.624,.941,,.012,5,,.175,.420,,0,0,trentga02
482,Oscar Tshiebwe,PF,24,IND,7,37,.529,5.6,,1.000,.235,.647,.000,.118,.000,,.529,.750,.455,,.500,,,.778,,,.118,2,,,,,0,0,tshieos01
483,P.J. Tucker,PF,38,TOT,15,239,.316,19.9,,.158,.158,.000,.000,.000,.842,,.333,.333,,,,.313,,1.000,1.000,,.000,0,,1.000,.313,,0,0,tuckepj01
484,Myles Turner,C,27,IND,52,1425,.524,12.7,,.660,.260,.269,.073,.058,.340,,.621,.764,.515,.511,.611,.336,,.772,1.000,,.077,45,,.118,.240,,0,0,turnemy01
485,Hunter Tyson,PF,23,DEN,9,27,.143,22.0,,.143,.143,.000,.000,.000,.857,,1.000,1.000,,,,.000,,1.000,,,.143,1,,.000,,,0,0,tysonhu01
486,Stanley Umude,SG,24,DET,17,190,.481,17.8,,.404,.096,.212,.058,.038,.596,,.381,.800,.364,.000,.000,.548,,.875,1.000,,.019,1,,.484,.533,,0,0,umudest01
487,Jonas Valančiūnas,C,31,NOP,55,1403,.573,8.8,,.831,.375,.290,.113,.052,.169,,.620,.738,.536,.525,.444,.341,,.608,1.000,,.100,47,,.205,.167,,0,0,valanjo01
488,Jarred Vanderbilt,PF,24,LAL,29,581,.518,8.1,,.763,.474,.272,.018,.000,.237,,.586,.685,.452,.000,,.296,,.706,1.000,,.193,21,,.704,.316,,1,0,vandeja01
489,Fred VanVleet,PG,29,HOU,47,1727,.409,19.4,,.430,.107,.128,.068,.126,.570,,.456,.515,.358,.419,.525,.374,,.226,.548,,.000,0,,.080,.483,,2,0,vanvlfr01
490,Devin Vassell,SG,23,SAS,50,1583,.465,16.9,,.550,.151,.138,.135,.125,.450,,.544,.717,.505,.564,.355,.369,,.587,.798,,.044,30,,.161,.500,,1,0,vassede01
491,Sasha Vezenkov,PF,28,SAC,35,440,.448,17.3,,.394,.212,.145,.024,.012,.606,,.554,.771,.333,.000,.500,.380,,.778,.974,,.006,1,,.280,.429,,1,0,vezenal01
492,Gabe Vincent,PG,27,LAL,5,127,.375,18.5,,.469,.125,.125,.031,.188,.531,,.667,.750,.750,1.000,.500,.118,,.500,.500,,.000,0,,.235,.000,,0,0,vincega01
493,Nikola Vučević,C,33,CHI,50,1722,.471,12.0,,.738,.231,.302,.123,.082,.262,,.541,.643,.529,.464,.415,.275,,.717,1.000,,.034,23,,.063,.385,,0,0,vucevni01
494,Dean Wade,PF,27,CLE,44,930,.411,22.7,,.132,.066,.015,.020,.030,.868,,.500,.692,.000,.500,.333,.398,,.615,.985,,.020,3,,.368,.460,,0,0,wadede01
495,Franz Wagner,SF,22,ORL,47,1564,.477,11.7,,.685,.273,.344,.048,.020,.315,,.549,.700,.458,.459,.267,.318,,.429,.792,,.061,46,,.112,.222,,4,0,wagnefr01
496,Moritz Wagner,C,26,ORL,53,974,.588,7.7,,.790,.496,.276,.005,.013,.210,,.658,.778,.457,.500,.400,.325,,.798,.962,,.073,26,,.288,.304,,0,0,wagnemo01
497,Ish Wainright,SF,29,POR,7,46,.333,23.8,,.111,.000,.056,.056,.000,.889,,.000,,.000,.000,,.375,,,1.000,,.000,0,,.313,.600,,0,0,wainris01
498,Jabari Walker,SF,21,POR,49,1083,.469,10.4,,.695,.412,.211,.053,.019,.305,,.552,.664,.418,.176,.667,.278,,.598,1.000,,.050,9,,.485,.277,,1,0,walkeja01
499,Jarace Walker,PF,20,IND,17,173,.424,17.4,,.515,.152,.152,.076,.136,.485,,.471,.400,.300,.800,.556,.375,,.625,.833,,.045,3,,.188,.333,,0,0,walkeja02
500,Lonnie Walker IV,SG,25,BRK,34,616,.474,17.3,,.457,.185,.116,.060,.096,.543,,.522,.661,.429,.556,.345,.433,,.486,.732,,.023,4,,.244,.550,,0,0,walkelo01
501,Cason Wallace,SG,20,OKC,54,1120,.504,16.1,,.454,.221,.121,.054,.057,.546,,.614,.774,.471,.533,.375,.412,,.718,1.000,,.050,11,,.562,.465,,0,0,wallaca01
502,Jordan Walsh,SF,19,BOS,4,33,.200,16.3,,.400,.400,.000,.000,.000,.600,,.500,.500,,,,.000,,1.000,,,.200,1,,.667,.000,,0,0,walshjo01
503,P.J. Washington,PF,25,TOT,47,1374,.444,14.9,,.522,.226,.241,.041,.015,.478,,.561,.711,.450,.455,.375,.316,,.796,.938,,.063,31,,.191,.245,,2,0,washipj01
504,TyTy Washington Jr.,PG,22,MIL,5,21,.143,19.3,,.571,.000,.143,.143,.286,.429,,.000,,.000,.000,.000,.333,,,1.000,,.000,0,,.333,1.000,,0,0,washity02
505,Yuta Watanabe,SF,29,TOT,30,407,.367,20.3,,.248,.092,.101,.037,.018,.752,,.556,.800,.364,.750,.000,.305,,.600,1.000,,.037,4,,.415,.294,,0,0,watanyu01
506,Lindy Waters III,SG,26,OKC,23,169,.442,24.0,,.077,.038,.000,.000,.038,.923,,.500,1.000,,,.000,.438,,1.000,.952,,.019,1,,.271,.615,,0,0,waterli01
507,Trendon Watford,PF,23,BRK,38,459,.542,9.3,,.795,.289,.422,.060,.024,.205,,.583,.750,.500,.500,.250,.382,,.468,.923,,.024,4,,.353,.333,,0,0,watfotr01
508,Peyton Watson,SF,21,DEN,53,969,.473,12.3,,.626,.337,.211,.058,.020,.374,,.554,.657,.435,.471,.333,.336,,.824,.973,,.150,39,,.427,.340,,3,0,watsope01
509,Victor Wembanyama,C,20,SAS,49,1392,.468,12.9,,.695,.275,.219,.103,.099,.305,,.534,.751,.439,.346,.333,.320,,.751,.792,,.157,109,,.058,.429,,1,0,wembavi01
510,Blake Wesley,SG,20,SAS,34,443,.518,9.5,,.773,.455,.218,.082,.018,.227,,.624,.680,.667,.333,.000,.160,,.585,1.000,,.127,12,,.280,.286,,2,0,weslebl01
511,Russell Westbrook,PG,35,LAC,53,1228,.463,9.7,,.755,.390,.258,.069,.038,.245,,.522,.662,.370,.333,.450,.281,,.379,.889,,.073,29,,.398,.314,,0,0,westbru01
512,Coby White,PG,23,CHI,55,1996,.463,15.9,,.525,.238,.140,.097,.049,.475,,.523,.646,.397,.543,.244,.397,,.281,.834,,.010,8,,.129,.451,,3,0,whiteco01
513,Derrick White,SG,29,BOS,51,1646,.462,17.7,,.425,.121,.199,.082,.023,.575,,.551,.778,.479,.408,.500,.397,,.400,.787,,.017,10,,.213,.425,,0,0,whitede01
514,Cam Whitmore,SF,19,HOU,28,476,.478,14.7,,.533,.286,.180,.027,.039,.467,,.544,.603,.500,.571,.300,.403,,.541,.917,,.118,22,,.160,.474,,0,0,whitmca01
515,Aaron Wiggins,SG,25,OKC,51,731,.583,11.3,,.626,.450,.128,.033,.014,.374,,.621,.663,.630,.286,.000,.519,,.707,.951,,.028,4,,.430,.471,,0,0,wiggiaa01
516,Andrew Wiggins,SF,28,GSW,47,1273,.445,12.7,,.700,.209,.302,.087,.101,.300,,.494,.600,.520,.295,.373,.331,,.615,.920,,.056,27,,.152,.348,,1,0,wiggian01
517,Lindell Wigginton,PG,25,MIL,3,8,.400,11.7,,.600,.400,.200,.000,.000,.400,,.667,1.000,.000,,,.000,,.000,,,.000,0,,.000,,,0,0,wiggili01
518,Alondes Williams,SG,24,MIA,1,6,.000,27.7,,.000,.000,.000,.000,.000,1.000,,,,,,,.000,,,,,.000,0,,.000,,,0,0,willial06
519,Brandon Williams,PG,24,DAL,12,59,.364,11.0,,.727,.227,.409,.045,.045,.273,,.375,.400,.444,.000,.000,.333,,.500,.500,,.045,0,,.000,,,0,0,willibr03
520,Grant Williams,PF,25,TOT,50,1333,.423,18.2,,.355,.145,.136,.051,.023,.645,,.512,.706,.354,.444,.375,.374,,.750,.988,,.017,4,,.374,.376,,1,0,willigr01
521,Jalen Williams,PF,22,OKC,48,1538,.544,11.5,,.760,.266,.263,.154,.077,.240,,.573,.733,.460,.539,.471,.453,,.413,.750,,.083,48,,.113,.500,,0,0,willija06
522,Jaylin Williams,C,21,OKC,46,569,.383,18.0,,.362,.161,.134,.047,.020,.638,,.444,.500,.400,.286,.667,.347,,.792,1.000,,.027,3,,.242,.348,,0,0,willija07
523,Jeenathan Williams,SG,24,HOU,10,74,.467,6.4,,.900,.467,.367,.033,.033,.100,,.481,.714,.273,.000,.000,.333,,.385,1.000,,.100,3,,.667,.000,,0,0,willije02
524,Kenrich Williams,PF,29,OKC,43,642,.457,15.4,,.476,.287,.134,.006,.049,.524,,.526,.638,.409,.000,.250,.395,,.780,.971,,.037,5,,.233,.300,,0,0,willike04
525,Mark Williams,C,22,CHO,19,508,.649,2.6,,1.000,.742,.245,.013,.000,.000,,.649,.741,.378,.500,,,,.633,,,.331,47,,,,,0,0,willima07
526,Patrick Williams,PF,22,CHI,43,1174,.443,14.6,,.588,.267,.128,.092,.100,.412,,.474,.573,.326,.485,.389,.399,,.550,.966,,.109,29,,.304,.422,,0,0,willipa01
527,Robert Williams,C,26,POR,6,119,.654,5.8,,1.000,.500,.269,.038,.192,.000,,.654,.769,.429,1.000,.600,,,.529,,,.269,5,,,,,0,0,williro04
528,Vince Williams Jr.,SG,23,MEM,43,1137,.437,16.8,,.389,.232,.106,.038,.014,.611,,.544,.662,.452,.273,.000,.369,,.532,.924,,.017,5,,.358,.344,,0,0,willivi01
529,Ziaire Williams,SF,22,MEM,45,850,.389,15.9,,.497,.226,.127,.080,.064,.503,,.468,.718,.225,.240,.350,.310,,.658,.939,,.099,28,,.354,.357,,1,0,willizi02
530,Zion Williamson,PF,23,NOP,44,1344,.585,3.8,,.983,.585,.368,.027,.003,.017,,.589,.711,.416,.333,.500,.364,,.483,1.000,,.095,56,,.091,1.000,,0,0,willizi01
531,Jalen Wilson,PF,23,BRK,16,234,.500,12.5,,.650,.250,.267,.100,.033,.350,,.487,.667,.438,.333,.000,.524,,.579,1.000,,.000,0,,.286,.500,,0,0,wilsoja03
532,Dylan Windler,SF,27,TOT,8,27,.455,24.5,,.091,.000,.000,.091,.000,.909,,.000,,,.000,,.500,,,1.000,,.000,0,,.300,.333,,0,0,windldy01
533,James Wiseman,C,22,DET,35,495,.667,4.6,,.986,.486,.399,.058,.043,.014,,.676,.806,.564,.625,.333,.000,,.728,,,.304,42,,.000,,,1,0,wisemja01
534,Christian Wood,PF,28,LAL,50,872,.466,13.8,,.568,.261,.223,.042,.042,.432,,.587,.812,.424,.455,.182,.307,,.761,.971,,.102,24,,.228,.346,,0,0,woodch01
535,Delon Wright,PG,31,WAS,33,456,.393,12.7,,.689,.197,.352,.074,.066,.311,,.405,.625,.349,.333,.125,.368,,.324,.786,,.008,1,,.158,.333,,1,0,wrighde01
536,Thaddeus Young,PF,35,TOR,23,350,.621,4.9,,.931,.517,.333,.069,.011,.069,,.654,.689,.621,.500,1.000,.167,,.755,1.000,,.057,5,,.500,.333,,0,0,youngth01
537,Trae Young,PG,25,ATL,50,1826,.427,17.6,,.536,.120,.190,.156,.070,.464,,.476,.578,.418,.470,.471,.371,,.247,.329,,.001,0,,.053,.458,,5,0,youngtr01
538,Omer Yurtseven,C,25,UTA,30,272,.482,7.6,,.819,.422,.313,.072,.012,.181,,.544,.743,.385,.167,.000,.200,,.622,1.000,,.217,15,,.533,.250,,0,0,yurtsom01
539,Cody Zeller,C,31,NOP,36,289,.396,4.3,,.943,.642,.264,.019,.019,.057,,.400,.500,.214,.000,.000,.333,,.600,1.000,,.113,6,,.000,,,0,0,zelleco01
540,Ivica Zubac,C,26,LAC,43,1139,.656,3.4,,1.000,.532,.444,.024,.000,.000,,.656,.699,.612,.500,,,,.756,,,.263,78,,,,,0,0,zubaciv01